ref_compo,categorie,aero,desc,lifespan,taux_usure_actuel,cout
SYSB767-B767_2803-9,Composants Critiques,B767_2803,Système d'alerte de proximité au sol (GPWS),10423,28.131632000000007,18680
SYSB767-B767_2803-10,Composants Critiques,B767_2803,Système de commande des gaz,11747,31.709648,18091
UNIB767-B767_2803-11,Composants Critiques,B767_2803,Unité de gestion de l'air,13224,52.88761599999999,17834
SYSB767-B767_2803-12,Composants Critiques,B767_2803,Système de gestion électrique,10409,48.620656,16266
SYSB767-B767_2803-13,Composants Critiques,B767_2803,Système d'atterrissage automatique,13537,49.52300799999998,15045
SYSB767-B767_2803-14,Composants Critiques,B767_2803,Système de surveillance du trafic aérien,10023,59.90803199999999,17135
SYSB767-B767_2803-15,Composants Majeurs,B767_2803,Système hydraulique principal,14811,37.05182400000001,14197
GENB767-B767_2803-16,Composants Majeurs,B767_2803,Générateur électrique,13716,56.513344,10833
TRAB767-B767_2803-17,Composants Majeurs,B767_2803,Train d'atterrissage principal,10389,13.214976,12512
TRAB767-B767_2803-18,Composants Majeurs,B767_2803,Train d'atterrissage avant,13964,35.68777599999999,14173
SYSB767-B767_2803-19,Composants Majeurs,B767_2803,Système anti-givre,14807,15.448688000000002,13366
AILB767-B767_2803-20,Composants Majeurs,B767_2803,Ailerons,10524,67.350816,10290
EMPB767-B767_2803-21,Composants Majeurs,B767_2803,Empennage,13736,55.249024,10528
FLAB767-B767_2803-22,Composants Majeurs,B767_2803,Flaps,11025,9.763600000000002,14480
SPOB767-B767_2803-23,Composants Majeurs,B767_2803,Spoilers,13426,58.615984,12456
FREB767-B767_2803-24,Composants Majeurs,B767_2803,Freins,11015,11.25576,12664
SYSB767-B767_2803-25,Composants Majeurs,B767_2803,Système de contrôle des surfaces de vol,11125,46.112,12191
GOUB767-B767_2803-26,Composants Majeurs,B767_2803,Gouvernail de direction,12643,45.112112,12059
SYSB767-B767_2803-27,Composants Majeurs,B767_2803,Système de pressurisation,11338,10.228992000000002,13233
SYSB767-B767_2803-28,Composants Majeurs,B767_2803,Système de conditionnement d'air,10343,64.318912,13453
SYSB767-B767_2803-29,Composants Majeurs,B767_2803,Système d'extinction d'incendie,11971,29.445264,10109
ECLB767-B767_2803-30,Composants Secondaires,B767_2803,Éclairage de cabine,12779,30.128736000000004,4788
SIEB767-B767_2803-31,Composants Secondaires,B767_2803,Siège pilote,12106,65.301104,2151
SIEB767-B767_2803-32,Composants Secondaires,B767_2803,Siège copilote,14200,52.082800000000006,3722
SYSB767-B767_2803-33,Composants Secondaires,B767_2803,Système de divertissement en vol,13985,44.26424,2723
SYSB767-B767_2803-34,Composants Secondaires,B767_2803,Système d'annonce publique,13876,14.048784,2021
TOIB767-B767_2803-35,Composants Secondaires,B767_2803,Toilettes,13230,47.35232,4801
SYSB767-B767_2803-36,Composants Majeurs,B767_2803,Système de conditionnement d'air,10343,64.258912,13453
DETB767-B767_2803-37,Composants Secondaires,B767_2803,Détecteurs de fumée,11066,59.345744,2147
ECLB767-B767_2803-38,Composants Secondaires,B767_2803,Éclairage d'urgence,14359,35.74745599999999,4936
PORB767-B767_2803-39,Composants Secondaires,B767_2803,Porte cargo,11447,31.794448,2850
SYSB767-B767_2803-40,Composants Secondaires,B767_2803,Systèmes d'oxygène d'urgence,13038,23.871792000000006,4745
PORB767-B767_2803-41,Composants Secondaires,B767_2803,Portes passagers,13107,45.99588799999998,3053
HUBB767-B767_2803-42,Composants Secondaires,B767_2803,Hublots,68978,60.73875200000001,3593
ECLB767-B767_2803-43,Composants Secondaires,B767_2803,Éclairage de la cabine,10639,59.10097599999998,4965
SYSB767-B767_2803-44,Composants Secondaires,B767_2803,Système d'approvisionnement en eau,12796,29.342064,4701
REACRJ700-CRJ700_6943-0,Composants Critiques,CRJ700_6943,Réacteur gauche,13045,18.41818,15552
REACRJ700-CRJ700_6943-1,Composants Critiques,CRJ700_6943,Réacteur droit,13626,50.93530399999998,17559
SYSCRJ700-CRJ700_6943-2,Composants Critiques,CRJ700_6943,Système de navigation,10541,26.16496400000001,16514
ORDCRJ700-CRJ700_6943-3,Composants Critiques,CRJ700_6943,Ordinateur de vol,10441,10.274564000000002,16047
AUTCRJ700-CRJ700_6943-4,Composants Critiques,CRJ700_6943,Autopilote,14847,49.05698800000001,19362
SYSCRJ700-CRJ700_6943-5,Composants Critiques,CRJ700_6943,Système de contrôle de vol,12580,58.37432,19492
RADCRJ700-CRJ700_6943-6,Composants Critiques,CRJ700_6943,Radar météorologique,11923,55.51609199999999,17567
SYSCRJ700-CRJ700_6943-7,Composants Critiques,CRJ700_6943,Système de communication radio,10370,45.07748000000001,19214
SYSCRJ700-CRJ700_6943-8,Composants Critiques,CRJ700_6943,Système de gestion de carburant,13219,59.958076,18351
SYSCRJ700-CRJ700_6943-9,Composants Critiques,CRJ700_6943,Système d'alerte de proximité au sol (GPWS),10423,46.820092,18680
SYSCRJ700-CRJ700_6943-10,Composants Critiques,CRJ700_6943,Système de commande des gaz,11747,30.774588,18091
UNICRJ700-CRJ700_6943-11,Composants Critiques,CRJ700_6943,Unité de gestion de l'air,13224,25.772096,17834
SYSCRJ700-CRJ700_6943-12,Composants Critiques,CRJ700_6943,Système de gestion électrique,10409,17.718836000000003,16266
SYSCRJ700-CRJ700_6943-13,Composants Critiques,CRJ700_6943,Système d'atterrissage automatique,13537,34.923748,15045
SYSCRJ700-CRJ700_6943-14,Composants Critiques,CRJ700_6943,Système de surveillance du trafic aérien,10023,63.17849200000001,17135
SYSCRJ700-CRJ700_6943-15,Composants Majeurs,CRJ700_6943,Système hydraulique principal,14811,50.248044,14197
GENCRJ700-CRJ700_6943-16,Composants Majeurs,CRJ700_6943,Générateur électrique,13716,56.43766399999999,10833
TRACRJ700-CRJ700_6943-17,Composants Majeurs,CRJ700_6943,Train d'atterrissage principal,10389,50.352756,12512
TRACRJ700-CRJ700_6943-18,Composants Majeurs,CRJ700_6943,Train d'atterrissage avant,13964,58.367056000000005,14173
SYSCRJ700-CRJ700_6943-19,Composants Majeurs,CRJ700_6943,Système anti-givre,14807,52.55482799999999,13366
AILCRJ700-CRJ700_6943-20,Composants Majeurs,CRJ700_6943,Ailerons,10524,40.821296,10290
EMPCRJ700-CRJ700_6943-21,Composants Majeurs,CRJ700_6943,Empennage,13736,57.593744,10528
FLACRJ700-CRJ700_6943-22,Composants Majeurs,CRJ700_6943,Flaps,11025,56.76409999999999,14480
SPOCRJ700-CRJ700_6943-23,Composants Majeurs,CRJ700_6943,Spoilers,13426,45.424504000000006,12456
FRECRJ700-CRJ700_6943-24,Composants Majeurs,CRJ700_6943,Freins,11015,14.176060000000003,12664
SYSCRJ700-CRJ700_6943-25,Composants Majeurs,CRJ700_6943,Système de contrôle des surfaces de vol,11125,59.3045,12191
GOUCRJ700-CRJ700_6943-26,Composants Majeurs,CRJ700_6943,Gouvernail de direction,12643,13.934972,12059
SYSCRJ700-CRJ700_6943-27,Composants Majeurs,CRJ700_6943,Système de pressurisation,11338,63.25575200000001,13233
SYSCRJ700-CRJ700_6943-28,Composants Majeurs,CRJ700_6943,Système de conditionnement d'air,10343,58.61577199999999,13453
SYSCRJ700-CRJ700_6943-29,Composants Majeurs,CRJ700_6943,Système d'extinction d'incendie,11971,24.914684,10109
ECLCRJ700-CRJ700_6943-30,Composants Secondaires,CRJ700_6943,Éclairage de cabine,12779,46.344316,4788
SIECRJ700-CRJ700_6943-31,Composants Secondaires,CRJ700_6943,Siège pilote,12106,39.853224,2151
SIECRJ700-CRJ700_6943-32,Composants Secondaires,CRJ700_6943,Siège copilote,14200,30.5668,3722
SYSCRJ700-CRJ700_6943-33,Composants Secondaires,CRJ700_6943,Système de divertissement en vol,13985,28.47394000000001,2723
SYSCRJ700-CRJ700_6943-34,Composants Secondaires,CRJ700_6943,Système d'annonce publique,13876,47.536304,2021
TOICRJ700-CRJ700_6943-35,Composants Secondaires,CRJ700_6943,Toilettes,13230,26.48692,4801
SYSCRJ700-CRJ700_6943-36,Composants Majeurs,CRJ700_6943,Système de conditionnement d'air,10343,8.515772,13453
DETCRJ700-CRJ700_6943-37,Composants Secondaires,CRJ700_6943,Détecteurs de fumée,11066,62.647064,2147
ECLCRJ700-CRJ700_6943-38,Composants Secondaires,CRJ700_6943,Éclairage d'urgence,14359,50.254636000000005,4936
PORCRJ700-CRJ700_6943-39,Composants Secondaires,CRJ700_6943,Porte cargo,11447,9.713387999999998,2850
SYSCRJ700-CRJ700_6943-40,Composants Secondaires,CRJ700_6943,Systèmes d'oxygène d'urgence,13038,44.16255200000001,4745
PORCRJ700-CRJ700_6943-41,Composants Secondaires,CRJ700_6943,Portes passagers,13107,42.538028,3053
HUBCRJ700-CRJ700_6943-42,Composants Secondaires,CRJ700_6943,Hublots,68978,63.798312,3593
ECLCRJ700-CRJ700_6943-43,Composants Secondaires,CRJ700_6943,Éclairage de la cabine,10639,59.263756,4965
SYSCRJ700-CRJ700_6943-44,Composants Secondaires,CRJ700_6943,Système d'approvisionnement en eau,12796,14.907984,4701
REAA350-A350_1177-0,Composants Critiques,A350_1177,Réacteur gauche,13045,33.441840000000006,15552
REAA350-A350_1177-1,Composants Critiques,A350_1177,Réacteur droit,13626,20.006352,17559
SYSA350-A350_1177-2,Composants Critiques,A350_1177,Système de navigation,10541,14.050432,16514
ORDA350-A350_1177-3,Composants Critiques,A350_1177,Ordinateur de vol,10441,35.965231999999986,16047
AUTA350-A350_1177-4,Composants Critiques,A350_1177,Autopilote,14847,54.406144,19362
SYSA350-A350_1177-5,Composants Critiques,A350_1177,Système de contrôle de vol,12580,56.01816,19492
RADA350-A350_1177-6,Composants Critiques,A350_1177,Radar météorologique,11923,26.276896,17567
SYSA350-A350_1177-7,Composants Critiques,A350_1177,Système de communication radio,10370,34.69024000000001,19214
SYSA350-A350_1177-8,Composants Critiques,A350_1177,Système de gestion de carburant,13219,22.353088,18351
SYSA350-A350_1177-9,Composants Critiques,A350_1177,Système d'alerte de proximité au sol (GPWS),10423,16.598896000000003,18680
SYSA350-A350_1177-10,Composants Critiques,A350_1177,Système de commande des gaz,11747,24.054944,18091
UNIA350-A350_1177-11,Composants Critiques,A350_1177,Unité de gestion de l'air,13224,22.964848,17834
SYSA350-A350_1177-12,Composants Critiques,A350_1177,Système de gestion électrique,10409,38.383968,16266
SYSA350-A350_1177-13,Composants Critiques,A350_1177,Système d'atterrissage automatique,13537,40.43502399999999,15045
SYSA350-A350_1177-14,Composants Critiques,A350_1177,Système de surveillance du trafic aérien,10023,18.298096,17135
SYSA350-A350_1177-15,Composants Majeurs,A350_1177,Système hydraulique principal,14811,40.233472,14197
GENA350-A350_1177-16,Composants Majeurs,A350_1177,Générateur électrique,13716,28.138032000000003,10833
TRAA350-A350_1177-17,Composants Majeurs,A350_1177,Train d'atterrissage principal,10389,47.10692800000001,12512
TRAA350-A350_1177-18,Composants Majeurs,A350_1177,Train d'atterrissage avant,13964,10.705328,14173
SYSA350-A350_1177-19,Composants Majeurs,A350_1177,Système anti-givre,14807,25.312064000000007,13366
AILA350-A350_1177-20,Composants Majeurs,A350_1177,Ailerons,10524,59.674448,10290
EMPA350-A350_1177-21,Composants Majeurs,A350_1177,Empennage,13736,9.755072000000002,10528
FLAA350-A350_1177-22,Composants Majeurs,A350_1177,Flaps,11025,40.1608,14480
SPOA350-A350_1177-23,Composants Majeurs,A350_1177,Spoilers,13426,23.345952,12456
FREA350-A350_1177-24,Composants Majeurs,A350_1177,Freins,11015,58.25728,12664
SYSA350-A350_1177-25,Composants Majeurs,A350_1177,Système de contrôle des surfaces de vol,11125,61.606,12191
GOUA350-A350_1177-26,Composants Majeurs,A350_1177,Gouvernail de direction,12643,44.510336,12059
SYSA350-A350_1177-27,Composants Majeurs,A350_1177,Système de pressurisation,11338,6.570976,13233
SYSA350-A350_1177-28,Composants Majeurs,A350_1177,Système de conditionnement d'air,10343,36.900736,13453
SYSA350-A350_1177-29,Composants Majeurs,A350_1177,Système d'extinction d'incendie,11971,28.223792000000003,10109
ECLA350-A350_1177-30,Composants Secondaires,A350_1177,Éclairage de cabine,12779,14.918208000000002,4788
SIEA350-A350_1177-31,Composants Secondaires,A350_1177,Siège pilote,12106,45.051312,2151
SIEA350-A350_1177-32,Composants Secondaires,A350_1177,Siège copilote,14200,44.45840000000002,3722
SYSA350-A350_1177-33,Composants Secondaires,A350_1177,Système de divertissement en vol,13985,27.26272,2723
SYSA350-A350_1177-34,Composants Secondaires,A350_1177,Système d'annonce publique,13876,44.55435200000001,2021
TOIA350-A350_1177-35,Composants Secondaires,A350_1177,Toilettes,13230,45.93696000000001,4801
SYSA350-A350_1177-36,Composants Majeurs,A350_1177,Système de conditionnement d'air,10343,31.460736,13453
DETA350-A350_1177-37,Composants Secondaires,A350_1177,Détecteurs de fumée,11066,52.765232,2147
ECLA350-A350_1177-38,Composants Secondaires,A350_1177,Éclairage d'urgence,14359,10.884368,4936
PORA350-A350_1177-39,Composants Secondaires,A350_1177,Porte cargo,11447,50.85934400000001,2850
SYSA350-A350_1177-40,Composants Secondaires,A350_1177,Systèmes d'oxygène d'urgence,13038,7.289376000000001,4745
PORA350-A350_1177-41,Composants Secondaires,A350_1177,Portes passagers,13107,28.373664,3053
HUBA350-A350_1177-42,Composants Secondaires,A350_1177,Hublots,68978,65.670256,3593
ECLA350-A350_1177-43,Composants Secondaires,A350_1177,Éclairage de la cabine,10639,40.564928,4965
SYSA350-A350_1177-44,Composants Secondaires,A350_1177,Système d'approvisionnement en eau,12796,58.334192,4701
REAB777-B777_4029-0,Composants Critiques,B777_4029,Réacteur gauche,13045,37.824785000000006,15552
REAB777-B777_4029-1,Composants Critiques,B777_4029,Réacteur droit,13626,27.517698000000006,17559
SYSB777-B777_4029-2,Composants Critiques,B777_4029,Système de navigation,10541,35.109993,16514
ORDB777-B777_4029-3,Composants Critiques,B777_4029,Ordinateur de vol,10441,18.542693,16047
AUTB777-B777_4029-4,Composants Critiques,B777_4029,Autopilote,14847,61.187331,19362
SYSB777-B777_4029-5,Composants Critiques,B777_4029,Système de contrôle de vol,12580,23.27834,19492
RADB777-B777_4029-6,Composants Critiques,B777_4029,Radar météorologique,11923,66.051879,17567
SYSB777-B777_4029-7,Composants Critiques,B777_4029,Système de communication radio,10370,32.55201,19214
SYSB777-B777_4029-8,Composants Critiques,B777_4029,Système de gestion de carburant,13219,40.584487,18351
SYSB777-B777_4029-9,Composants Critiques,B777_4029,Système d'alerte de proximité au sol (GPWS),10423,41.482379,18680
SYSB777-B777_4029-10,Composants Critiques,B777_4029,Système de commande des gaz,11747,27.771031,18091
UNIB777-B777_4029-11,Composants Critiques,B777_4029,Unité de gestion de l'air,13224,32.647352000000005,17834
SYSB777-B777_4029-12,Composants Critiques,B777_4029,Système de gestion électrique,10409,28.974357,16266
SYSB777-B777_4029-13,Composants Critiques,B777_4029,Système d'atterrissage automatique,13537,49.686701000000006,15045
SYSB777-B777_4029-14,Composants Critiques,B777_4029,Système de surveillance du trafic aérien,10023,34.903179,17135
SYSB777-B777_4029-15,Composants Majeurs,B777_4029,Système hydraulique principal,14811,30.056703,14197
GENB777-B777_4029-16,Composants Majeurs,B777_4029,Générateur électrique,13716,26.609268000000004,10833
TRAB777-B777_4029-17,Composants Majeurs,B777_4029,Train d'atterrissage principal,10389,10.232897,12512
TRAB777-B777_4029-18,Composants Majeurs,B777_4029,Train d'atterrissage avant,13964,53.55137199999999,14173
SYSB777-B777_4029-19,Composants Majeurs,B777_4029,Système anti-givre,14807,20.834411,13366
AILB777-B777_4029-20,Composants Majeurs,B777_4029,Ailerons,10524,42.16025200000001,10290
EMPB777-B777_4029-21,Composants Majeurs,B777_4029,Empennage,13736,61.47072800000001,10528
FLAB777-B777_4029-22,Composants Majeurs,B777_4029,Flaps,11025,35.037325,14480
SPOB777-B777_4029-23,Composants Majeurs,B777_4029,Spoilers,13426,50.15309800000002,12456
FREB777-B777_4029-24,Composants Majeurs,B777_4029,Freins,11015,34.131595000000004,12664
SYSB777-B777_4029-25,Composants Majeurs,B777_4029,Système de contrôle des surfaces de vol,11125,27.224625,12191
GOUB777-B777_4029-26,Composants Majeurs,B777_4029,Gouvernail de direction,12643,19.854439,12059
SYSB777-B777_4029-27,Composants Majeurs,B777_4029,Système de pressurisation,11338,47.766674,13233
SYSB777-B777_4029-28,Composants Majeurs,B777_4029,Système de conditionnement d'air,10343,40.436539,13453
SYSB777-B777_4029-29,Composants Majeurs,B777_4029,Système d'extinction d'incendie,11971,9.889383,10109
ECLB777-B777_4029-30,Composants Secondaires,B777_4029,Éclairage de cabine,12779,18.882367,4788
SIEB777-B777_4029-31,Composants Secondaires,B777_4029,Siège pilote,12106,62.48673799999999,2151
SIEB777-B777_4029-32,Composants Secondaires,B777_4029,Siège copilote,14200,53.9866,3722
SYSB777-B777_4029-33,Composants Secondaires,B777_4029,Système de divertissement en vol,13985,60.603405,2723
SYSB777-B777_4029-34,Composants Secondaires,B777_4029,Système d'annonce publique,13876,67.35094799999999,2021
TOIB777-B777_4029-35,Composants Secondaires,B777_4029,Toilettes,13230,38.08079000000001,4801
SYSB777-B777_4029-36,Composants Majeurs,B777_4029,Système de conditionnement d'air,10343,36.676539000000005,13453
DETB777-B777_4029-37,Composants Secondaires,B777_4029,Détecteurs de fumée,11066,8.410817999999999,2147
ECLB777-B777_4029-38,Composants Secondaires,B777_4029,Éclairage d'urgence,14359,63.837707,4936
PORB777-B777_4029-39,Composants Secondaires,B777_4029,Porte cargo,11447,57.299131,2850
SYSB777-B777_4029-40,Composants Secondaires,B777_4029,Systèmes d'oxygène d'urgence,13038,50.580774000000005,4745
PORB777-B777_4029-41,Composants Secondaires,B777_4029,Portes passagers,13107,52.210311,3053
HUBB777-B777_4029-42,Composants Secondaires,B777_4029,Hublots,68978,68.394394,3593
ECLB777-B777_4029-43,Composants Secondaires,B777_4029,Éclairage de la cabine,10639,51.696147,4965
SYSB777-B777_4029-44,Composants Secondaires,B777_4029,Système d'approvisionnement en eau,12796,50.042108000000006,4701
REAE175-E175_3327-0,Composants Critiques,E175_3327,Réacteur gauche,13045,22.78914500000001,15552
REAE175-E175_3327-1,Composants Critiques,E175_3327,Réacteur droit,13626,14.936706,17559
SYSE175-E175_3327-2,Composants Critiques,E175_3327,Système de navigation,10541,58.77432099999999,16514
ORDE175-E175_3327-3,Composants Critiques,E175_3327,Ordinateur de vol,10441,12.186221,16047
AUTE175-E175_3327-4,Composants Critiques,E175_3327,Autopilote,14847,14.516107000000002,19362
SYSE175-E175_3327-5,Composants Critiques,E175_3327,Système de contrôle de vol,12580,53.10898,19492
RADE175-E175_3327-6,Composants Critiques,E175_3327,Radar météorologique,11923,10.507262999999998,17567
SYSE175-E175_3327-7,Composants Critiques,E175_3327,Système de communication radio,10370,32.60497,19214
SYSE175-E175_3327-8,Composants Critiques,E175_3327,Système de gestion de carburant,13219,43.460239,18351
SYSE175-E175_3327-9,Composants Critiques,E175_3327,Système d'alerte de proximité au sol (GPWS),10423,33.265763,18680
SYSE175-E175_3327-10,Composants Critiques,E175_3327,Système de commande des gaz,11747,14.665006999999996,18091
UNIE175-E175_3327-11,Composants Critiques,E175_3327,Unité de gestion de l'air,13224,38.073144000000006,17834
SYSE175-E175_3327-12,Composants Critiques,E175_3327,Système de gestion électrique,10409,51.66762899999999,16266
SYSE175-E175_3327-13,Composants Critiques,E175_3327,Système d'atterrissage automatique,13537,38.26499700000001,15045
SYSE175-E175_3327-14,Composants Critiques,E175_3327,Système de surveillance du trafic aérien,10023,17.083363,17135
SYSE175-E175_3327-15,Composants Majeurs,E175_3327,Système hydraulique principal,14811,57.895191,14197
GENE175-E175_3327-16,Composants Majeurs,E175_3327,Générateur électrique,13716,40.008996,10833
TRAE175-E175_3327-17,Composants Majeurs,E175_3327,Train d'atterrissage principal,10389,9.896009,12512
TRAE175-E175_3327-18,Composants Majeurs,E175_3327,Train d'atterrissage avant,13964,32.03308400000001,14173
SYSE175-E175_3327-19,Composants Majeurs,E175_3327,Système anti-givre,14807,52.492867,13366
AILE175-E175_3327-20,Composants Majeurs,E175_3327,Ailerons,10524,21.854444,10290
EMPE175-E175_3327-21,Composants Majeurs,E175_3327,Empennage,13736,38.550616,10528
FLAE175-E175_3327-22,Composants Majeurs,E175_3327,Flaps,11025,41.01552499999999,14480
SPOE175-E175_3327-23,Composants Majeurs,E175_3327,Spoilers,13426,14.060506,12456
FREE175-E175_3327-24,Composants Majeurs,E175_3327,Freins,11015,53.379715,12664
SYSE175-E175_3327-25,Composants Majeurs,E175_3327,Système de contrôle des surfaces de vol,11125,22.863625000000003,12191
GOUE175-E175_3327-26,Composants Majeurs,E175_3327,Gouvernail de direction,12643,44.525583000000005,12059
SYSE175-E175_3327-27,Composants Majeurs,E175_3327,Système de pressurisation,11338,35.057378,13233
SYSE175-E175_3327-28,Composants Majeurs,E175_3327,Système de conditionnement d'air,10343,47.449283,13453
SYSE175-E175_3327-29,Composants Majeurs,E175_3327,Système d'extinction d'incendie,11971,39.035151000000006,10109
ECLE175-E175_3327-30,Composants Secondaires,E175_3327,Éclairage de cabine,12779,15.364599000000002,4788
SIEE175-E175_3327-31,Composants Secondaires,E175_3327,Siège pilote,12106,32.083586000000004,2151
SIEE175-E175_3327-32,Composants Secondaires,E175_3327,Siège copilote,14200,36.0202,3722
SYSE175-E175_3327-33,Composants Secondaires,E175_3327,Système de divertissement en vol,13985,28.575285,2723
SYSE175-E175_3327-34,Composants Secondaires,E175_3327,Système d'annonce publique,13876,16.951956000000003,2021
TOIE175-E175_3327-35,Composants Secondaires,E175_3327,Toilettes,13230,28.39663,4801
SYSE175-E175_3327-36,Composants Majeurs,E175_3327,Système de conditionnement d'air,10343,49.459283000000006,13453
DETE175-E175_3327-37,Composants Secondaires,E175_3327,Détecteurs de fumée,11066,24.079346,2147
ECLE175-E175_3327-38,Composants Secondaires,E175_3327,Éclairage d'urgence,14359,18.272579000000004,4936
PORE175-E175_3327-39,Composants Secondaires,E175_3327,Porte cargo,11447,24.580707000000004,2850
SYSE175-E175_3327-40,Composants Secondaires,E175_3327,Systèmes d'oxygène d'urgence,13038,62.365078,4745
PORE175-E175_3327-41,Composants Secondaires,E175_3327,Portes passagers,13107,10.665167000000002,3053
HUBE175-E175_3327-42,Composants Secondaires,E175_3327,Hublots,68978,70.916218,3593
